invoice_date,shopping_mall,Region,total_revenue,transaction_count,avg_transaction_value,total_quantity,unique_customers,revenue_per_customer
2021-01-06,Zorlu Center,Beşiktaş,15676.4,5,3135.28,17,5,3135.28
2021-01-07,Cevahir AVM,Bayrampaşa,2461.25,7,351.61,19,7,351.61
2021-01-07,Emaar Square Mall,Üsküdar,13448.07,9,1494.23,22,9,1494.23
2021-01-07,Forum Istanbul,Bayrampaşa,7013.42,6,1168.9,15,6,1168.9
2021-01-07,Istinye Park,Şişli,23924.1,17,1407.3,51,17,1407.3
2021-01-07,Kanyon,Levent,58663.95,26,2256.31,87,26,2256.31
2021-01-07,Mall of Istanbul,Beşiktaş,103446.48,35,2955.61,105,35,2955.61
2021-01-07,Metrocity,Levent,13956.68,12,1163.06,39,12,1163.06
2021-01-07,Metropol AVM,Ataşehir,17385.82,11,1580.53,26,11,1580.53
2021-01-07,Viaport Outlet,Pendik,8316.62,6,1386.1,13,6,1386.1
2021-01-07,Zorlu Center,Beşiktaş,28319.54,9,3146.62,25,9,3146.62
2021-01-08,Cevahir AVM,Bayrampaşa,19768.37,11,1797.12,28,11,1797.12
2021-01-08,Emaar Square Mall,Üsküdar,5449.57,7,778.51,16,7,778.51
2021-01-08,Forum Istanbul,Bayrampaşa,2241.6,1,2241.6,3,1,2241.6
2021-01-08,Istinye Park,Şişli,20179.06,10,2017.91,31,10,2017.91
2021-01-08,Kanyon,Levent,70850.67,27,2624.1,83,27,2624.1
2021-01-08,Mall of Istanbul,Beşiktaş,10296.89,16,643.56,42,16,643.56
2021-01-08,Metrocity,Levent,52478.61,19,2762.03,53,19,2762.03
2021-01-08,Metropol AVM,Ataşehir,43521.92,14,3108.71,48,14,3108.71
2021-01-08,Viaport Outlet,Pendik,5314.05,6,885.68,19,6,885.68
2021-01-08,Zorlu Center,Beşiktaş,6216.53,5,1243.31,14,5,1243.31
2021-01-09,Cevahir AVM,Bayrampaşa,3351.24,8,418.91,26,8,418.9
2021-01-09,Emaar Square Mall,Üsküdar,4213.12,2,2106.56,6,2,2106.56
2021-01-09,Forum Istanbul,Bayrampaşa,18145.2,7,2592.17,28,7,2592.17
2021-01-09,Istinye Park,Şişli,15844.09,11,1440.37,30,11,1440.37
2021-01-09,Kanyon,Levent,46872.12,17,2757.18,54,17,2757.18
2021-01-09,Mall of Istanbul,Beşiktaş,46591.88,21,2218.66,63,21,2218.66
2021-01-09,Metrocity,Levent,21444.0,17,1261.41,50,17,1261.41
2021-01-09,Metropol AVM,Ataşehir,16865.9,12,1405.49,30,12,1405.49
2021-01-09,Viaport Outlet,Pendik,7324.86,6,1220.81,17,6,1220.81
2021-01-09,Zorlu Center,Beşiktaş,7906.87,6,1317.81,18,6,1317.81
2021-01-10,Cevahir AVM,Bayrampaşa,11856.96,6,1976.16,22,6,1976.16
2021-01-10,Emaar Square Mall,Üsküdar,18961.97,4,4740.49,13,4,4740.49
2021-01-10,Forum Istanbul,Bayrampaşa,342.82,3,114.27,7,3,114.27
2021-01-10,Istinye Park,Şişli,42689.33,12,3557.44,36,12,3557.44
2021-01-10,Kanyon,Levent,61936.14,24,2580.67,68,24,2580.67
2021-01-10,Mall of Istanbul,Beşiktaş,53079.37,26,2041.51,82,26,2041.51
2021-01-10,Metrocity,Levent,35596.02,18,1977.56,48,18,1977.56
2021-01-10,Metropol AVM,Ataşehir,18514.37,11,1683.12,32,11,1683.12
2021-01-10,Viaport Outlet,Pendik,6852.44,6,1142.07,13,6,1142.07
2021-01-10,Zorlu Center,Beşiktaş,22364.03,9,2484.89,30,9,2484.89
2021-01-11,Cevahir AVM,Bayrampaşa,9628.69,5,1925.74,20,5,1925.74
2021-01-11,Emaar Square Mall,Üsküdar,15135.17,5,3027.03,18,5,3027.03
2021-01-11,Forum Istanbul,Bayrampaşa,14558.13,5,2911.63,17,5,2911.63
2021-01-11,Istinye Park,Şişli,38717.32,14,2765.52,42,14,2765.52
2021-01-11,Kanyon,Levent,64542.39,31,2082.01,87,31,2082.01
2021-01-11,Mall of Istanbul,Beşiktaş,39773.76,19,2093.36,55,19,2093.36
2021-01-11,Metrocity,Levent,33597.7,21,1599.89,58,21,1599.89
2021-01-11,Metropol AVM,Ataşehir,13595.03,9,1510.56,23,9,1510.56
2021-01-11,Viaport Outlet,Pendik,1104.29,2,552.15,3,2,552.14
2021-01-11,Zorlu Center,Beşiktaş,11555.52,7,1650.79,21,7,1650.79
2021-01-12,Cevahir AVM,Bayrampaşa,1445.74,5,289.15,9,5,289.15
2021-01-12,Emaar Square Mall,Üsküdar,11386.89,5,2277.38,20,5,2277.38
2021-01-12,Forum Istanbul,Bayrampaşa,12751.83,6,2125.31,20,6,2125.3
2021-01-12,Istinye Park,Şişli,34043.57,15,2269.57,42,15,2269.57
2021-01-12,Kanyon,Levent,69488.59,27,2573.65,91,27,2573.65
2021-01-12,Mall of Istanbul,Beşiktaş,63229.57,23,2749.11,71,23,2749.11
2021-01-12,Metrocity,Levent,39102.31,15,2606.82,49,15,2606.82
2021-01-12,Metropol AVM,Ataşehir,11478.79,11,1043.53,34,11,1043.53
2021-01-12,Viaport Outlet,Pendik,28206.52,8,3525.82,22,8,3525.82
2021-01-12,Zorlu Center,Beşiktaş,1944.63,6,324.11,20,6,324.1
2021-01-13,Cevahir AVM,Bayrampaşa,13045.86,4,3261.47,11,4,3261.46
2021-01-13,Emaar Square Mall,Üsküdar,8954.95,4,2238.74,14,4,2238.74
2021-01-13,Forum Istanbul,Bayrampaşa,7293.08,5,1458.62,18,5,1458.62
2021-01-13,Istinye Park,Şişli,21467.47,17,1262.79,51,17,1262.79
2021-01-13,Kanyon,Levent,38889.88,24,1620.41,69,24,1620.41
2021-01-13,Mall of Istanbul,Beşiktaş,48867.69,21,2327.03,69,21,2327.03
2021-01-13,Metrocity,Levent,54795.21,12,4566.27,48,12,4566.27
2021-01-13,Metropol AVM,Ataşehir,53836.16,14,3845.44,51,14,3845.44
2021-01-13,Viaport Outlet,Pendik,5157.75,5,1031.55,16,5,1031.55
2021-01-13,Zorlu Center,Beşiktaş,21294.31,6,3549.05,22,6,3549.05
2021-01-14,Cevahir AVM,Bayrampaşa,2613.63,6,435.6,17,6,435.6
2021-01-14,Emaar Square Mall,Üsküdar,9881.38,7,1411.63,22,7,1411.63
2021-01-14,Forum Istanbul,Bayrampaşa,13606.03,8,1700.75,22,8,1700.75
2021-01-14,Istinye Park,Şişli,40011.75,10,4001.18,37,10,4001.18
2021-01-14,Kanyon,Levent,27415.39,23,1191.97,61,23,1191.97
2021-01-14,Mall of Istanbul,Beşiktaş,45201.76,25,1808.07,78,25,1808.07
2021-01-14,Metrocity,Levent,10736.5,16,671.03,36,16,671.03
2021-01-14,Metropol AVM,Ataşehir,47014.49,21,2238.79,61,21,2238.79
2021-01-14,Viaport Outlet,Pendik,13081.95,10,1308.2,33,10,1308.2
2021-01-14,Zorlu Center,Beşiktaş,3000.52,4,750.13,11,4,750.13
2021-01-15,Cevahir AVM,Bayrampaşa,27946.56,8,3493.32,23,8,3493.32
2021-01-15,Emaar Square Mall,Üsküdar,24688.67,9,2743.19,33,9,2743.19
2021-01-15,Forum Istanbul,Bayrampaşa,13327.79,6,2221.3,23,6,2221.3
2021-01-15,Istinye Park,Şişli,8995.09,9,999.45,19,9,999.45
2021-01-15,Kanyon,Levent,52056.56,26,2002.18,75,26,2002.18
2021-01-15,Mall of Istanbul,Beşiktaş,64945.11,24,2706.05,72,24,2706.05
2021-01-15,Metrocity,Levent,45535.89,18,2529.77,58,18,2529.77
2021-01-15,Metropol AVM,Ataşehir,11942.66,9,1326.96,27,9,1326.96
2021-01-15,Viaport Outlet,Pendik,4834.71,7,690.67,16,7,690.67
2021-01-15,Zorlu Center,Beşiktaş,16003.05,6,2667.17,25,6,2667.18
2021-01-16,Cevahir AVM,Bayrampaşa,8642.78,6,1440.46,20,6,1440.46
2021-01-16,Emaar Square Mall,Üsküdar,9466.84,6,1577.81,20,6,1577.81
2021-01-16,Forum Istanbul,Bayrampaşa,8737.91,6,1456.32,23,6,1456.32
2021-01-16,Istinye Park,Şişli,18180.38,7,2597.2,19,7,2597.2
2021-01-16,Kanyon,Levent,64086.72,31,2067.31,92,31,2067.31
2021-01-16,Mall of Istanbul,Beşiktaş,66413.19,29,2290.11,98,29,2290.11
2021-01-16,Metrocity,Levent,47114.67,17,2771.45,49,17,2771.45
2021-01-16,Metropol AVM,Ataşehir,9787.83,12,815.65,25,12,815.65
2021-01-16,Viaport Outlet,Pendik,4601.19,11,418.29,20,11,418.29
2021-01-16,Zorlu Center,Beşiktaş,7730.68,5,1546.14,17,5,1546.14
2021-01-17,Cevahir AVM,Bayrampaşa,24383.05,7,3483.29,26,7,3483.29
2021-01-17,Emaar Square Mall,Üsküdar,12537.09,7,1791.01,21,7,1791.01
2021-01-17,Forum Istanbul,Bayrampaşa,6159.27,8,769.91,24,8,769.91
2021-01-17,Istinye Park,Şişli,39897.73,16,2493.61,54,16,2493.61
2021-01-17,Kanyon,Levent,22302.45,15,1486.83,42,15,1486.83
2021-01-17,Mall of Istanbul,Beşiktaş,27154.41,30,905.15,81,30,905.15
2021-01-17,Metrocity,Levent,18185.31,19,957.12,54,19,957.12
2021-01-17,Metropol AVM,Ataşehir,21445.96,13,1649.69,34,13,1649.69
2021-01-17,Viaport Outlet,Pendik,1382.48,5,276.5,7,5,276.5
2021-01-17,Zorlu Center,Beşiktaş,19223.57,6,3203.93,19,6,3203.93
2021-01-18,Cevahir AVM,Bayrampaşa,10492.72,10,1049.27,31,10,1049.27
2021-01-18,Emaar Square Mall,Üsküdar,14406.51,6,2401.08,19,6,2401.08
2021-01-18,Forum Istanbul,Bayrampaşa,637.37,3,212.46,8,3,212.46
2021-01-18,Istinye Park,Şişli,18061.44,13,1389.34,38,13,1389.34
2021-01-18,Kanyon,Levent,49520.17,28,1768.58,76,28,1768.58
2021-01-18,Mall of Istanbul,Beşiktaş,28239.81,26,1086.15,68,26,1086.15
2021-01-18,Metrocity,Levent,35248.59,14,2517.76,53,14,2517.76
2021-01-18,Metropol AVM,Ataşehir,34187.54,15,2279.17,43,15,2279.17
2021-01-18,Viaport Outlet,Pendik,17045.68,8,2130.71,28,8,2130.71
2021-01-18,Zorlu Center,Beşiktaş,4709.15,5,941.83,9,5,941.83
2021-01-19,Cevahir AVM,Bayrampaşa,1014.48,2,507.24,8,2,507.24
2021-01-19,Emaar Square Mall,Üsküdar,3235.83,5,647.17,19,5,647.17
2021-01-19,Forum Istanbul,Bayrampaşa,6713.88,6,1118.98,14,6,1118.98
2021-01-19,Istinye Park,Şişli,15095.55,16,943.47,46,16,943.47
2021-01-19,Kanyon,Levent,70491.29,26,2711.2,85,26,2711.2
2021-01-19,Mall of Istanbul,Beşiktaş,57910.17,26,2227.31,79,26,2227.31
2021-01-19,Metrocity,Levent,23470.55,22,1066.84,64,22,1066.84
2021-01-19,Metropol AVM,Ataşehir,23374.52,9,2597.17,26,9,2597.17
2021-01-19,Viaport Outlet,Pendik,13167.14,7,1881.02,23,7,1881.02
2021-01-19,Zorlu Center,Beşiktaş,5967.4,2,2983.7,7,2,2983.7
2021-01-20,Cevahir AVM,Bayrampaşa,9660.72,10,966.07,30,10,966.07
2021-01-20,Emaar Square Mall,Üsküdar,2229.57,2,1114.79,6,2,1114.79
2021-01-20,Forum Istanbul,Bayrampaşa,18129.99,4,4532.5,11,4,4532.5
2021-01-20,Istinye Park,Şişli,33643.04,8,4205.38,29,8,4205.38
2021-01-20,Kanyon,Levent,89895.01,35,2568.43,122,35,2568.43
2021-01-20,Mall of Istanbul,Beşiktaş,67439.13,23,2932.14,72,23,2932.14
2021-01-20,Metrocity,Levent,24165.02,16,1510.31,49,16,1510.31
2021-01-20,Metropol AVM,Ataşehir,27309.54,11,2482.69,40,11,2482.69
2021-01-20,Viaport Outlet,Pendik,15282.28,8,1910.29,24,8,1910.28
2021-01-20,Zorlu Center,Beşiktaş,10271.64,6,1711.94,17,6,1711.94
2021-01-21,Cevahir AVM,Bayrampaşa,33476.28,8,4184.54,25,8,4184.54
2021-01-21,Emaar Square Mall,Üsküdar,27749.53,7,3964.22,22,7,3964.22
2021-01-21,Forum Istanbul,Bayrampaşa,408.32,3,136.11,9,3,136.11
2021-01-21,Istinye Park,Şişli,27985.97,13,2152.77,40,13,2152.77
2021-01-21,Kanyon,Levent,30013.74,25,1200.55,65,25,1200.55
2021-01-21,Mall of Istanbul,Beşiktaş,72780.25,38,1915.27,108,38,1915.27
2021-01-21,Metrocity,Levent,32729.9,19,1722.63,58,19,1722.63
2021-01-21,Metropol AVM,Ataşehir,22229.73,9,2469.97,23,9,2469.97
2021-01-21,Viaport Outlet,Pendik,2720.79,7,388.68,20,7,388.68
2021-01-21,Zorlu Center,Beşiktaş,3465.4,5,693.08,14,5,693.08
2021-01-22,Cevahir AVM,Bayrampaşa,8651.29,4,2162.82,11,4,2162.82
2021-01-22,Emaar Square Mall,Üsküdar,2676.65,4,669.16,14,4,669.16
2021-01-22,Forum Istanbul,Bayrampaşa,38895.0,8,4861.87,35,8,4861.88
2021-01-22,Istinye Park,Şişli,22611.73,15,1507.45,57,15,1507.45
2021-01-22,Kanyon,Levent,90342.66,33,2737.66,108,33,2737.66
2021-01-22,Mall of Istanbul,Beşiktaş,58974.08,22,2680.64,68,22,2680.64
2021-01-22,Metrocity,Levent,34293.51,19,1804.92,57,19,1804.92
2021-01-22,Metropol AVM,Ataşehir,20696.12,12,1724.68,30,12,1724.68
2021-01-22,Viaport Outlet,Pendik,7698.14,4,1924.53,14,4,1924.54
2021-01-22,Zorlu Center,Beşiktaş,8038.67,4,2009.67,14,4,2009.67
2021-01-23,Cevahir AVM,Bayrampaşa,15130.7,10,1513.07,34,10,1513.07
2021-01-23,Emaar Square Mall,Üsküdar,10018.8,7,1431.26,20,7,1431.26
2021-01-23,Forum Istanbul,Bayrampaşa,21158.13,8,2644.77,26,8,2644.77
2021-01-23,Istinye Park,Şişli,21734.27,13,1671.87,40,13,1671.87
2021-01-23,Kanyon,Levent,52654.17,24,2193.92,66,24,2193.92
2021-01-23,Mall of Istanbul,Beşiktaş,61943.04,30,2064.77,83,30,2064.77
2021-01-23,Metrocity,Levent,8789.6,13,676.12,33,13,676.12
2021-01-23,Metropol AVM,Ataşehir,18110.3,13,1393.1,47,13,1393.1
2021-01-23,Viaport Outlet,Pendik,2844.74,4,711.18,8,4,711.18
2021-01-23,Zorlu Center,Beşiktaş,6521.11,7,931.59,16,7,931.59
2021-01-24,Cevahir AVM,Bayrampaşa,22291.32,7,3184.47,25,7,3184.47
2021-01-24,Emaar Square Mall,Üsküdar,1899.07,7,271.3,16,7,271.3
2021-01-24,Forum Istanbul,Bayrampaşa,24188.44,9,2687.6,23,9,2687.6
2021-01-24,Istinye Park,Şişli,26107.46,18,1450.41,48,18,1450.41
2021-01-24,Kanyon,Levent,35142.16,19,1849.59,57,19,1849.59
2021-01-24,Mall of Istanbul,Beşiktaş,39104.75,28,1396.6,81,28,1396.6
2021-01-24,Metrocity,Levent,30580.99,15,2038.73,44,15,2038.73
2021-01-24,Metropol AVM,Ataşehir,16613.01,11,1510.27,24,11,1510.27
2021-01-24,Viaport Outlet,Pendik,5589.4,5,1117.88,13,5,1117.88
2021-01-24,Zorlu Center,Beşiktaş,17095.5,5,3419.1,16,5,3419.1
2021-01-25,Cevahir AVM,Bayrampaşa,12095.52,9,1343.95,25,9,1343.95
2021-01-25,Emaar Square Mall,Üsküdar,19385.86,8,2423.23,26,8,2423.23
2021-01-25,Forum Istanbul,Bayrampaşa,15846.78,9,1760.75,28,9,1760.75
2021-01-25,Istinye Park,Şişli,13926.82,6,2321.14,15,6,2321.14
2021-01-25,Kanyon,Levent,52164.19,22,2371.1,69,22,2371.1
2021-01-25,Mall of Istanbul,Beşiktaş,66468.8,29,2292.03,96,29,2292.03
2021-01-25,Metrocity,Levent,40133.31,19,2112.28,55,19,2112.28
2021-01-25,Metropol AVM,Ataşehir,12717.7,11,1156.15,34,11,1156.15
2021-01-25,Viaport Outlet,Pendik,10256.97,6,1709.5,23,6,1709.5
2021-01-25,Zorlu Center,Beşiktaş,136.64,3,45.55,8,3,45.55
2021-01-26,Cevahir AVM,Bayrampaşa,18986.12,8,2373.26,18,8,2373.26
2021-01-26,Emaar Square Mall,Üsküdar,13393.26,7,1913.32,19,7,1913.32
2021-01-26,Forum Istanbul,Bayrampaşa,22001.1,7,3143.01,22,7,3143.01
2021-01-26,Istinye Park,Şişli,17140.42,12,1428.37,29,12,1428.37
2021-01-26,Kanyon,Levent,24975.73,22,1135.26,64,22,1135.26
2021-01-26,Mall of Istanbul,Beşiktaş,31463.99,24,1311.0,58,24,1311.0
2021-01-26,Metrocity,Levent,25669.66,16,1604.35,53,16,1604.35
2021-01-26,Metropol AVM,Ataşehir,28996.92,13,2230.53,44,13,2230.53
2021-01-26,Viaport Outlet,Pendik,8803.11,5,1760.62,13,5,1760.62
2021-01-26,Zorlu Center,Beşiktaş,35986.3,8,4498.29,28,8,4498.29
2021-01-27,Cevahir AVM,Bayrampaşa,15703.15,9,1744.79,32,9,1744.79
2021-01-27,Emaar Square Mall,Üsküdar,21680.22,8,2710.03,29,8,2710.03
2021-01-27,Forum Istanbul,Bayrampaşa,8873.2,7,1267.6,19,7,1267.6
2021-01-27,Istinye Park,Şişli,34058.93,8,4257.37,23,8,4257.37
2021-01-27,Kanyon,Levent,33160.81,18,1842.27,43,18,1842.27
2021-01-27,Mall of Istanbul,Beşiktaş,57621.91,30,1920.73,94,30,1920.73
2021-01-27,Metrocity,Levent,27103.55,12,2258.63,40,12,2258.63
2021-01-27,Metropol AVM,Ataşehir,15648.0,9,1738.67,28,9,1738.67
2021-01-27,Viaport Outlet,Pendik,37698.1,8,4712.26,33,8,4712.26
2021-01-27,Zorlu Center,Beşiktaş,13225.75,7,1889.39,22,7,1889.39
2021-01-28,Cevahir AVM,Bayrampaşa,17733.45,9,1970.38,29,9,1970.38
2021-01-28,Emaar Square Mall,Üsküdar,3573.62,3,1191.21,8,3,1191.21
2021-01-28,Forum Istanbul,Bayrampaşa,5609.34,6,934.89,17,6,934.89
2021-01-28,Istinye Park,Şişli,33204.41,10,3320.44,30,10,3320.44
2021-01-28,Kanyon,Levent,45090.93,27,1670.03,77,27,1670.03
2021-01-28,Mall of Istanbul,Beşiktaş,64349.21,28,2298.19,86,28,2298.19
2021-01-28,Metrocity,Levent,24698.08,18,1372.12,53,18,1372.12
2021-01-28,Metropol AVM,Ataşehir,30711.4,20,1535.57,53,20,1535.57
2021-01-28,Viaport Outlet,Pendik,17905.96,6,2984.33,23,6,2984.33
2021-01-28,Zorlu Center,Beşiktaş,4352.17,5,870.43,13,5,870.43
2021-01-29,Cevahir AVM,Bayrampaşa,10206.06,6,1701.01,20,6,1701.01
2021-01-29,Emaar Square Mall,Üsküdar,8254.24,7,1179.18,19,7,1179.18
2021-01-29,Forum Istanbul,Bayrampaşa,23179.08,12,1931.59,31,12,1931.59
2021-01-29,Istinye Park,Şişli,19209.34,14,1372.1,39,14,1372.1
2021-01-29,Kanyon,Levent,61748.41,24,2572.85,75,24,2572.85
2021-01-29,Mall of Istanbul,Beşiktaş,19327.02,17,1136.88,42,17,1136.88
2021-01-29,Metrocity,Levent,46797.86,16,2924.87,45,16,2924.87
2021-01-29,Metropol AVM,Ataşehir,11351.57,7,1621.65,22,7,1621.65
2021-01-29,Viaport Outlet,Pendik,16677.45,9,1853.05,23,9,1853.05
2021-01-29,Zorlu Center,Beşiktaş,6273.03,5,1254.61,14,5,1254.61
2021-01-30,Cevahir AVM,Bayrampaşa,4397.31,5,879.46,13,5,879.46
2021-01-30,Emaar Square Mall,Üsküdar,973.16,3,324.39,5,3,324.39
2021-01-30,Forum Istanbul,Bayrampaşa,3679.85,4,919.96,11,4,919.96
2021-01-30,Istinye Park,Şişli,28371.99,9,3152.44,32,9,3152.44
2021-01-30,Kanyon,Levent,73282.55,32,2290.08,96,32,2290.08
2021-01-30,Mall of Istanbul,Beşiktaş,27655.1,30,921.84,86,30,921.84
2021-01-30,Metrocity,Levent,20324.13,15,1354.94,42,15,1354.94
2021-01-30,Metropol AVM,Ataşehir,17244.52,12,1437.04,28,12,1437.04
2021-01-30,Viaport Outlet,Pendik,32167.89,9,3574.21,28,9,3574.21
2021-01-30,Zorlu Center,Beşiktaş,21087.59,9,2343.07,22,9,2343.07
2021-01-31,Cevahir AVM,Bayrampaşa,17379.71,7,2482.82,20,7,2482.82
2021-01-31,Emaar Square Mall,Üsküdar,31365.82,7,4480.83,22,7,4480.83
2021-01-31,Forum Istanbul,Bayrampaşa,7061.4,6,1176.9,14,6,1176.9
2021-01-31,Istinye Park,Şişli,38676.2,12,3223.02,37,12,3223.02
2021-01-31,Kanyon,Levent,45069.21,21,2146.15,71,21,2146.15
2021-01-31,Mall of Istanbul,Beşiktaş,55551.05,23,2415.26,73,23,2415.26
2021-01-31,Metrocity,Levent,10153.58,11,923.05,27,11,923.05
2021-01-31,Metropol AVM,Ataşehir,54695.45,10,5469.54,34,10,5469.54
2021-01-31,Viaport Outlet,Pendik,6904.13,5,1380.83,14,5,1380.83
2021-01-31,Zorlu Center,Beşiktaş,21624.59,3,7208.2,9,3,7208.2
2021-02-01,Cevahir AVM,Bayrampaşa,12857.81,6,2142.97,26,6,2142.97
2021-02-01,Emaar Square Mall,Üsküdar,26185.91,5,5237.18,19,5,5237.18
2021-02-01,Forum Istanbul,Bayrampaşa,11346.08,7,1620.87,19,7,1620.87
2021-02-01,Istinye Park,Şişli,13675.22,7,1953.6,18,7,1953.6
2021-02-01,Kanyon,Levent,60058.52,26,2309.94,90,26,2309.94
2021-02-01,Mall of Istanbul,Beşiktaş,46804.72,25,1872.19,77,25,1872.19
2021-02-01,Metrocity,Levent,17620.41,12,1468.37,32,12,1468.37
2021-02-01,Metropol AVM,Ataşehir,7944.2,11,722.2,35,11,722.2
2021-02-01,Viaport Outlet,Pendik,15214.59,4,3803.65,11,4,3803.65
2021-02-01,Zorlu Center,Beşiktaş,2140.42,2,1070.21,3,2,1070.21
2021-02-02,Cevahir AVM,Bayrampaşa,2936.14,6,489.36,21,6,489.36
2021-02-02,Emaar Square Mall,Üsküdar,5009.91,2,2504.95,8,2,2504.96
2021-02-02,Forum Istanbul,Bayrampaşa,6199.24,7,885.61,15,7,885.61
2021-02-02,Istinye Park,Şişli,13987.08,10,1398.71,35,10,1398.71
2021-02-02,Kanyon,Levent,29194.65,19,1536.56,57,19,1536.56
2021-02-02,Mall of Istanbul,Beşiktaş,56439.13,22,2565.42,64,22,2565.42
2021-02-02,Metrocity,Levent,41878.79,18,2326.6,46,18,2326.6
