invoice_date,Region,total_revenue,transaction_count,avg_transaction_value,total_quantity,unique_customers,active_malls
2021-01-16,Levent,111201.38,48,2316.7,141,48,2
2021-01-16,Pendik,4601.19,11,418.29,20,11,1
2021-01-16,Üsküdar,9466.84,6,1577.81,20,6,1
2021-01-16,Şişli,18180.38,7,2597.2,19,7,1
2021-01-17,Ataşehir,21445.96,13,1649.69,34,13,1
2021-01-17,Bayrampaşa,30542.32,15,2036.15,50,15,2
2021-01-17,Beşiktaş,46377.98,36,1288.28,100,36,2
2021-01-17,Levent,40487.75,34,1190.82,96,34,2
2021-01-17,Pendik,1382.48,5,276.5,7,5,1
2021-01-17,Üsküdar,12537.09,7,1791.01,21,7,1
2021-01-17,Şişli,39897.73,16,2493.61,54,16,1
2021-01-18,Ataşehir,34187.54,15,2279.17,43,15,1
2021-01-18,Bayrampaşa,11130.09,13,856.16,39,13,2
2021-01-18,Beşiktaş,32948.96,31,1062.87,77,31,2
2021-01-18,Levent,84768.75,42,2018.3,129,42,2
2021-01-18,Pendik,17045.68,8,2130.71,28,8,1
2021-01-18,Üsküdar,14406.51,6,2401.08,19,6,1
2021-01-18,Şişli,18061.44,13,1389.34,38,13,1
2021-01-19,Ataşehir,23374.52,9,2597.17,26,9,1
2021-01-19,Bayrampaşa,7728.35,8,966.04,22,8,2
2021-01-19,Beşiktaş,63877.57,28,2281.34,86,28,2
2021-01-19,Levent,93961.84,48,1957.54,149,48,2
2021-01-19,Pendik,13167.14,7,1881.02,23,7,1
2021-01-19,Üsküdar,3235.83,5,647.17,19,5,1
2021-01-19,Şişli,15095.55,16,943.47,46,16,1
2021-01-20,Ataşehir,27309.54,11,2482.69,40,11,1
2021-01-20,Bayrampaşa,27790.71,14,1985.05,41,14,2
2021-01-20,Beşiktaş,77710.77,29,2679.68,89,29,2
2021-01-20,Levent,114060.03,51,2236.47,171,51,2
2021-01-20,Pendik,15282.28,8,1910.29,24,8,1
2021-01-20,Üsküdar,2229.57,2,1114.79,6,2,1
2021-01-20,Şişli,33643.04,8,4205.38,29,8,1
2021-01-21,Ataşehir,22229.73,9,2469.97,23,9,1
2021-01-21,Bayrampaşa,33884.6,11,3080.42,34,11,2
2021-01-21,Beşiktaş,76245.65,43,1773.15,122,43,2
2021-01-21,Levent,62743.64,44,1425.99,123,44,2
2021-01-21,Pendik,2720.79,7,388.68,20,7,1
2021-01-21,Üsküdar,27749.53,7,3964.22,22,7,1
2021-01-21,Şişli,27985.97,13,2152.77,40,13,1
2021-01-22,Ataşehir,20696.12,12,1724.68,30,12,1
2021-01-22,Bayrampaşa,47546.29,12,3962.19,46,12,2
2021-01-22,Beşiktaş,67012.75,26,2577.41,82,26,2
2021-01-22,Levent,124636.17,52,2396.85,165,52,2
2021-01-22,Pendik,7698.14,4,1924.53,14,4,1
2021-01-22,Üsküdar,2676.65,4,669.16,14,4,1
2021-01-22,Şişli,22611.73,15,1507.45,57,15,1
2021-01-23,Ataşehir,18110.3,13,1393.1,47,13,1
2021-01-23,Bayrampaşa,36288.83,18,2016.05,60,18,2
2021-01-23,Beşiktaş,68464.15,37,1850.38,99,37,2
2021-01-23,Levent,61443.77,37,1660.64,99,37,2
2021-01-23,Pendik,2844.74,4,711.18,8,4,1
2021-01-23,Üsküdar,10018.8,7,1431.26,20,7,1
2021-01-23,Şişli,21734.27,13,1671.87,40,13,1
2021-01-24,Ataşehir,16613.01,11,1510.27,24,11,1
2021-01-24,Bayrampaşa,46479.75,16,2904.98,48,16,2
2021-01-24,Beşiktaş,56200.25,33,1703.04,97,33,2
2021-01-24,Levent,65723.15,34,1933.03,101,34,2
2021-01-24,Pendik,5589.4,5,1117.88,13,5,1
2021-01-24,Üsküdar,1899.07,7,271.3,16,7,1
2021-01-24,Şişli,26107.46,18,1450.41,48,18,1
2021-01-25,Ataşehir,12717.7,11,1156.15,34,11,1
2021-01-25,Bayrampaşa,27942.31,18,1552.35,53,18,2
2021-01-25,Beşiktaş,66605.43,32,2081.42,104,32,2
2021-01-25,Levent,92297.5,41,2251.16,124,41,2
2021-01-25,Pendik,10256.97,6,1709.5,23,6,1
2021-01-25,Üsküdar,19385.86,8,2423.23,26,8,1
2021-01-25,Şişli,13926.82,6,2321.14,15,6,1
2021-01-26,Ataşehir,28996.92,13,2230.53,44,13,1
2021-01-26,Bayrampaşa,40987.22,15,2732.48,40,15,2
2021-01-26,Beşiktaş,67450.28,32,2107.82,86,32,2
2021-01-26,Levent,50645.4,38,1332.77,117,38,2
2021-01-26,Pendik,8803.11,5,1760.62,13,5,1
2021-01-26,Üsküdar,13393.26,7,1913.32,19,7,1
2021-01-26,Şişli,17140.42,12,1428.37,29,12,1
2021-01-27,Ataşehir,15648.0,9,1738.67,28,9,1
2021-01-27,Bayrampaşa,24576.35,16,1536.02,51,16,2
2021-01-27,Beşiktaş,70847.66,37,1914.8,116,37,2
2021-01-27,Levent,60264.37,30,2008.81,83,30,2
2021-01-27,Pendik,37698.1,8,4712.26,33,8,1
2021-01-27,Üsküdar,21680.22,8,2710.03,29,8,1
2021-01-27,Şişli,34058.93,8,4257.37,23,8,1
2021-01-28,Ataşehir,30711.4,20,1535.57,53,20,1
2021-01-28,Bayrampaşa,23342.79,15,1556.19,46,15,2
2021-01-28,Beşiktaş,68701.39,33,2081.86,99,33,2
2021-01-28,Levent,69789.01,45,1550.87,130,45,2
2021-01-28,Pendik,17905.96,6,2984.33,23,6,1
2021-01-28,Üsküdar,3573.62,3,1191.21,8,3,1
2021-01-28,Şişli,33204.41,10,3320.44,30,10,1
2021-01-29,Ataşehir,11351.57,7,1621.65,22,7,1
2021-01-29,Bayrampaşa,33385.14,18,1854.73,51,18,2
2021-01-29,Beşiktaş,25600.05,22,1163.64,56,22,2
2021-01-29,Levent,108546.28,40,2713.66,120,40,2
2021-01-29,Pendik,16677.45,9,1853.05,23,9,1
2021-01-29,Üsküdar,8254.24,7,1179.18,19,7,1
2021-01-29,Şişli,19209.34,14,1372.1,39,14,1
2021-01-30,Ataşehir,17244.52,12,1437.04,28,12,1
2021-01-30,Bayrampaşa,8077.17,9,897.46,24,9,2
2021-01-30,Beşiktaş,48742.69,39,1249.81,108,39,2
2021-01-30,Levent,93606.68,47,1991.63,138,47,2
2021-01-30,Pendik,32167.89,9,3574.21,28,9,1
2021-01-30,Üsküdar,973.16,3,324.39,5,3,1
2021-01-30,Şişli,28371.99,9,3152.44,32,9,1
2021-01-31,Ataşehir,54695.45,10,5469.54,34,10,1
2021-01-31,Bayrampaşa,24441.11,13,1880.09,34,13,2
2021-01-31,Beşiktaş,77175.63,26,2968.29,82,26,2
2021-01-31,Levent,55222.79,32,1725.71,98,32,2
2021-01-31,Pendik,6904.13,5,1380.83,14,5,1
2021-01-31,Üsküdar,31365.82,7,4480.83,22,7,1
2021-01-31,Şişli,38676.2,12,3223.02,37,12,1
2021-02-01,Ataşehir,7944.2,11,722.2,35,11,1
2021-02-01,Bayrampaşa,24203.89,13,1861.84,45,13,2
2021-02-01,Beşiktaş,48945.14,27,1812.78,80,27,2
2021-02-01,Levent,77678.93,38,2044.18,122,38,2
2021-02-01,Pendik,15214.59,4,3803.65,11,4,1
2021-02-01,Üsküdar,26185.91,5,5237.18,19,5,1
2021-02-01,Şişli,13675.22,7,1953.6,18,7,1
2021-02-02,Ataşehir,51131.65,16,3195.73,50,16,1
2021-02-02,Bayrampaşa,9135.38,13,702.72,36,13,2
2021-02-02,Beşiktaş,68660.65,29,2367.61,85,29,2
2021-02-02,Levent,71073.44,37,1920.9,103,37,2
2021-02-02,Pendik,5366.82,4,1341.7,12,4,1
2021-02-02,Üsküdar,5009.91,2,2504.95,8,2,1
2021-02-02,Şişli,13987.08,10,1398.71,35,10,1
2021-02-03,Ataşehir,24628.14,19,1296.22,57,19,1
2021-02-03,Bayrampaşa,21292.2,15,1419.48,44,15,2
2021-02-03,Beşiktaş,26804.54,27,992.76,72,27,2
2021-02-03,Levent,95592.5,38,2515.59,120,38,2
2021-02-03,Pendik,1427.19,2,713.6,6,2,1
2021-02-03,Üsküdar,5220.19,8,652.52,17,8,1
2021-02-03,Şişli,20239.18,13,1556.86,37,13,1
2021-02-04,Ataşehir,49701.56,16,3106.35,53,16,1
2021-02-04,Bayrampaşa,7685.16,9,853.91,26,9,2
2021-02-04,Beşiktaş,54650.97,33,1656.09,98,33,2
2021-02-04,Levent,121925.28,46,2650.55,147,46,2
2021-02-04,Pendik,8257.07,7,1179.58,22,7,1
2021-02-04,Üsküdar,10640.86,6,1773.48,14,6,1
2021-02-04,Şişli,33156.83,11,3014.26,29,11,1
2021-02-05,Ataşehir,26590.82,11,2417.35,36,11,1
2021-02-05,Bayrampaşa,31341.45,13,2410.88,37,13,2
2021-02-05,Beşiktaş,119925.51,44,2725.58,139,44,2
2021-02-05,Levent,67646.55,48,1409.3,149,48,2
2021-02-05,Pendik,10137.36,7,1448.19,17,7,1
2021-02-05,Üsküdar,3333.01,6,555.5,19,6,1
2021-02-05,Şişli,10748.05,11,977.1,31,11,1
2021-02-06,Ataşehir,44271.26,14,3162.23,43,14,1
2021-02-06,Bayrampaşa,29062.12,11,2642.01,35,11,2
2021-02-06,Beşiktaş,66699.34,32,2084.35,103,32,2
2021-02-06,Levent,80065.16,39,2052.95,106,39,2
2021-02-06,Pendik,930.88,4,232.72,14,4,1
2021-02-06,Üsküdar,38133.7,8,4766.71,23,8,1
2021-02-06,Şişli,23870.36,10,2387.04,30,10,1
2021-02-07,Ataşehir,55135.14,16,3445.95,42,16,1
2021-02-07,Bayrampaşa,3322.92,8,415.37,18,8,2
2021-02-07,Beşiktaş,42775.81,25,1711.03,73,25,2
2021-02-07,Levent,95300.59,47,2027.67,137,47,2
2021-02-07,Pendik,8672.8,6,1445.47,19,6,1
2021-02-07,Üsküdar,15524.66,7,2217.81,20,7,1
2021-02-07,Şişli,15206.89,14,1086.21,36,14,1
2021-02-08,Ataşehir,15858.74,11,1441.7,29,11,1
2021-02-08,Bayrampaşa,10875.81,8,1359.48,17,8,2
2021-02-08,Beşiktaş,61357.9,22,2789.0,60,22,2
2021-02-08,Levent,92084.46,40,2302.11,108,40,2
2021-02-08,Pendik,18394.48,7,2627.78,18,7,1
2021-02-08,Üsküdar,4639.64,5,927.93,11,5,1
2021-02-08,Şişli,17160.6,14,1225.76,50,14,1
2021-02-09,Ataşehir,10191.12,8,1273.89,19,8,1
2021-02-09,Bayrampaşa,27819.5,13,2139.96,36,13,2
2021-02-09,Beşiktaş,112156.39,44,2549.01,131,44,2
2021-02-09,Levent,67634.93,29,2332.24,90,29,2
2021-02-09,Pendik,14260.67,8,1782.58,26,8,1
2021-02-09,Üsküdar,2523.87,5,504.77,13,5,1
2021-02-09,Şişli,24755.94,8,3094.49,22,8,1
2021-02-10,Ataşehir,48455.96,17,2850.35,50,17,1
2021-02-10,Bayrampaşa,33570.58,14,2397.9,45,14,2
2021-02-10,Beşiktaş,87665.7,35,2504.73,101,35,2
2021-02-10,Levent,54909.37,36,1525.26,99,36,2
2021-02-10,Pendik,1467.67,5,293.53,13,5,1
2021-02-10,Üsküdar,1326.29,3,442.1,5,3,1
2021-02-10,Şişli,20624.61,10,2062.46,28,10,1
2021-02-11,Ataşehir,38102.12,10,3810.21,32,10,1
2021-02-11,Bayrampaşa,26787.17,12,2232.26,38,12,2
2021-02-11,Beşiktaş,82724.84,28,2954.46,91,28,2
2021-02-11,Levent,83690.3,47,1780.64,125,47,2
2021-02-11,Pendik,2614.93,3,871.64,9,3,1
2021-02-11,Üsküdar,10531.08,7,1504.44,17,7,1
2021-02-11,Şişli,21737.18,18,1207.62,55,18,1
2021-02-12,Ataşehir,21786.57,17,1281.56,54,17,1
2021-02-12,Bayrampaşa,7086.48,5,1417.3,22,5,2
2021-02-12,Beşiktaş,40278.82,28,1438.53,80,28,2
2021-02-12,Levent,116487.02,53,2197.87,171,53,2
2021-02-12,Pendik,12375.64,7,1767.95,21,7,1
2021-02-12,Üsküdar,10180.55,5,2036.11,16,5,1
2021-02-12,Şişli,31791.56,15,2119.44,50,15,1
2021-02-13,Ataşehir,14006.03,7,2000.86,19,7,1
2021-02-13,Bayrampaşa,35551.74,13,2734.75,36,13,2
2021-02-13,Beşiktaş,46985.28,27,1740.2,67,27,2
2021-02-13,Levent,119623.66,53,2257.05,158,53,2
2021-02-13,Pendik,7502.8,5,1500.56,16,5,1
2021-02-13,Üsküdar,7810.02,3,2603.34,5,3,1
2021-02-13,Şişli,24674.15,21,1174.96,67,21,1
2021-02-14,Ataşehir,46046.86,13,3542.07,45,13,1
2021-02-14,Bayrampaşa,33843.92,11,3076.72,28,11,2
2021-02-14,Beşiktaş,122179.09,29,4213.07,100,29,2
2021-02-14,Levent,143988.66,53,2716.77,170,53,2
2021-02-14,Pendik,4095.12,7,585.02,19,7,1
2021-02-14,Üsküdar,15131.88,9,1681.32,26,9,1
2021-02-14,Şişli,3659.29,6,609.88,13,6,1
2021-02-15,Ataşehir,16017.46,7,2288.21,20,7,1
2021-02-15,Bayrampaşa,47635.83,12,3969.65,38,12,2
2021-02-15,Beşiktaş,111654.47,35,3190.13,108,35,2
2021-02-15,Levent,53100.51,34,1561.78,100,34,2
2021-02-15,Pendik,18787.76,5,3757.55,18,5,1
2021-02-15,Üsküdar,20933.6,9,2325.96,27,9,1
2021-02-15,Şişli,12671.65,10,1267.17,31,10,1
2021-02-16,Ataşehir,43735.54,11,3975.96,38,11,1
2021-02-16,Bayrampaşa,22059.82,6,3676.64,20,6,2
2021-02-16,Beşiktaş,33180.03,27,1228.89,83,27,2
2021-02-16,Levent,91641.02,48,1909.19,161,48,2
2021-02-16,Pendik,19193.93,10,1919.39,26,10,1
2021-02-16,Üsküdar,458.75,1,458.75,4,1,1
2021-02-16,Şişli,24106.46,20,1205.32,55,20,1
2021-02-17,Ataşehir,47054.94,13,3619.61,46,13,1
2021-02-17,Bayrampaşa,15730.25,9,1747.81,28,9,2
2021-02-17,Beşiktaş,105233.92,32,3288.56,102,32,2
2021-02-17,Levent,69893.96,47,1487.11,120,47,2
2021-02-17,Pendik,2959.93,6,493.32,12,6,1
2021-02-17,Üsküdar,24846.23,5,4969.25,20,5,1
2021-02-17,Şişli,28565.23,12,2380.44,37,12,1
2021-02-18,Ataşehir,10147.28,16,634.2,40,16,1
2021-02-18,Bayrampaşa,19201.9,14,1371.56,42,14,2
2021-02-18,Beşiktaş,102711.54,33,3112.47,104,33,2
2021-02-18,Levent,106737.63,42,2541.37,130,42,2
2021-02-18,Pendik,10117.21,5,2023.44,13,5,1
2021-02-18,Üsküdar,17824.13,5,3564.83,14,5,1
2021-02-18,Şişli,17119.75,11,1556.34,36,11,1
2021-02-19,Ataşehir,5366.28,11,487.84,28,11,1
2021-02-19,Bayrampaşa,23007.09,17,1353.36,43,17,2
2021-02-19,Beşiktaş,51912.33,27,1922.68,88,27,2
2021-02-19,Levent,115797.93,42,2757.09,133,42,2
2021-02-19,Pendik,11671.14,3,3890.38,14,3,1
2021-02-19,Üsküdar,2176.26,5,435.25,10,5,1
2021-02-19,Şişli,23440.28,16,1465.02,37,16,1
2021-02-20,Ataşehir,33273.82,13,2559.52,38,13,1
2021-02-20,Bayrampaşa,20685.3,12,1723.77,34,12,2
2021-02-20,Beşiktaş,50756.66,29,1750.23,75,29,2
2021-02-20,Levent,88373.34,41,2155.45,138,41,2
2021-02-20,Pendik,19589.42,3,6529.81,12,3,1
2021-02-20,Üsküdar,8762.83,5,1752.57,16,5,1
2021-02-20,Şişli,30611.73,11,2782.88,33,11,1
2021-02-21,Ataşehir,12497.28,10,1249.73,31,10,1
2021-02-21,Bayrampaşa,17801.44,13,1369.34,43,13,2
2021-02-21,Beşiktaş,49376.52,30,1645.88,86,30,2
2021-02-21,Levent,78369.67,50,1567.39,138,50,2
2021-02-21,Pendik,23771.49,10,2377.15,26,10,1
2021-02-21,Üsküdar,2886.56,3,962.19,10,3,1
2021-02-21,Şişli,27095.37,14,1935.38,43,14,1
2021-02-22,Ataşehir,9639.64,9,1071.07,28,9,1
2021-02-22,Bayrampaşa,8855.23,11,805.02,39,11,2
2021-02-22,Beşiktaş,31007.38,34,911.98,106,34,2
2021-02-22,Levent,116394.84,55,2116.27,167,55,2
2021-02-22,Pendik,10201.61,7,1457.37,31,7,1
2021-02-22,Üsküdar,2365.15,3,788.38,8,3,1
2021-02-22,Şişli,28955.44,11,2632.31,34,11,1
2021-02-23,Ataşehir,40193.64,13,3091.82,35,13,1
2021-02-23,Bayrampaşa,38173.9,8,4771.74,27,8,2
2021-02-23,Beşiktaş,71971.38,39,1845.42,123,39,2
2021-02-23,Levent,66028.99,34,1942.03,104,34,2
2021-02-23,Pendik,5576.0,6,929.33,12,6,1
2021-02-23,Üsküdar,14688.19,7,2098.31,22,7,1
2021-02-23,Şişli,20681.73,4,5170.43,13,4,1
2021-02-24,Ataşehir,36452.05,19,1918.53,57,19,1
2021-02-24,Bayrampaşa,13143.55,13,1011.04,41,13,2
2021-02-24,Beşiktaş,42678.99,30,1422.63,93,30,2
2021-02-24,Levent,101733.38,48,2119.45,152,48,2
2021-02-24,Pendik,486.45,4,121.61,11,4,1
2021-02-24,Üsküdar,14778.12,7,2111.16,23,7,1
2021-02-24,Şişli,53014.8,13,4078.06,45,13,1
2021-02-25,Ataşehir,16506.36,12,1375.53,38,12,1
2021-02-25,Bayrampaşa,20318.76,12,1693.23,39,12,2
2021-02-25,Beşiktaş,96395.68,34,2835.17,99,34,2
2021-02-25,Levent,100850.01,39,2585.9,119,39,2
2021-02-25,Pendik,19513.26,8,2439.16,22,8,1
2021-02-25,Üsküdar,778.9,4,194.72,8,4,1
2021-02-25,Şişli,15240.98,10,1524.1,27,10,1
2021-02-26,Ataşehir,22546.79,15,1503.12,44,15,1
2021-02-26,Bayrampaşa,10075.97,13,775.07,38,13,2
2021-02-26,Beşiktaş,58139.82,25,2325.59,74,25,2
2021-02-26,Levent,64865.11,41,1582.08,123,41,2
2021-02-26,Pendik,30545.84,7,4363.69,22,7,1
2021-02-26,Üsküdar,23078.44,8,2884.8,22,8,1
2021-02-26,Şişli,28001.8,13,2153.98,40,13,1
2021-02-27,Ataşehir,18939.92,19,996.84,51,19,1
2021-02-27,Bayrampaşa,21447.34,10,2144.73,30,10,2
2021-02-27,Beşiktaş,47334.91,25,1893.4,76,25,2
2021-02-27,Levent,110102.97,38,2897.45,119,38,2
2021-02-27,Pendik,4912.49,3,1637.5,6,3,1
2021-02-27,Üsküdar,14648.8,8,1831.1,22,8,1
2021-02-27,Şişli,44545.36,20,2227.27,60,20,1
2021-02-28,Ataşehir,11946.02,11,1086.0,30,11,1
2021-02-28,Bayrampaşa,16386.46,16,1024.15,56,16,2
2021-02-28,Beşiktaş,56491.33,32,1765.35,92,32,2
2021-02-28,Levent,78268.22,40,1956.71,114,40,2
2021-02-28,Pendik,7532.86,8,941.61,20,8,1
2021-02-28,Üsküdar,31.9,1,31.9,1,1,1
2021-02-28,Şişli,12674.96,9,1408.33,18,9,1
2021-03-01,Ataşehir,19660.21,6,3276.7,15,6,1
2021-03-01,Bayrampaşa,31116.48,14,2222.61,46,14,2
2021-03-01,Beşiktaş,19578.17,29,675.11,74,29,2
2021-03-01,Levent,75106.54,41,1831.87,101,41,2
2021-03-01,Pendik,25850.57,4,6462.64,12,4,1
2021-03-01,Üsküdar,15935.79,8,1991.97,32,8,1
2021-03-01,Şişli,2064.12,8,258.01,23,8,1
2021-03-02,Ataşehir,30028.08,10,3002.81,30,10,1
2021-03-02,Bayrampaşa,43227.23,13,3325.17,37,13,2
2021-03-02,Beşiktaş,66911.98,29,2307.31,96,29,2
2021-03-02,Levent,62817.37,36,1744.93,111,36,2
2021-03-02,Pendik,27706.24,9,3078.47,27,9,1
2021-03-02,Üsküdar,14147.92,5,2829.58,14,5,1
2021-03-02,Şişli,11854.6,10,1185.46,27,10,1
2021-03-03,Ataşehir,18022.53,13,1386.35,36,13,1
2021-03-03,Bayrampaşa,14755.93,11,1341.45,31,11,2
2021-03-03,Beşiktaş,43015.96,26,1654.46,84,26,2
2021-03-03,Levent,80974.54,43,1883.13,122,43,2
2021-03-03,Pendik,767.98,4,192.0,9,4,1
2021-03-03,Üsküdar,16785.93,5,3357.19,14,5,1
2021-03-03,Şişli,41453.2,17,2438.42,52,17,1
2021-03-04,Ataşehir,24607.08,12,2050.59,35,12,1
2021-03-04,Bayrampaşa,40923.9,14,2923.14,35,14,2
2021-03-04,Beşiktaş,66623.87,32,2082.0,101,32,2
2021-03-04,Levent,81000.92,51,1588.25,141,51,2
2021-03-04,Pendik,34333.83,12,2861.15,34,12,1
2021-03-04,Üsküdar,13629.15,4,3407.29,16,4,1
2021-03-04,Şişli,27469.3,13,2113.02,40,13,1
2021-03-05,Ataşehir,23004.32,12,1917.03,33,12,1
2021-03-05,Bayrampaşa,33909.68,11,3082.7,33,11,2
2021-03-05,Beşiktaş,63269.89,32,1977.18,90,32,2
